Draw,Date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2
3989,12/10/2019,6,8,16,17,27,33,26,28
3987,05/10/2019,4,12,20,33,34,36,10,23
3985,28/09/2019,4,11,18,20,22,41,12,44
3983,21/09/2019,14,29,32,33,40,43,12,24
3981,14/09/2019,7,20,27,38,39,41,9,43
3979,07/09/2019,1,8,10,14,23,36,7,15
3977,31/08/2019,7,14,15,17,36,41,20,24
3975,24/08/2019,4,9,10,11,32,33,23,29
3973,17/08/2019,6,19,23,24,28,35,29,38
3971,10/08/2019,1,6,9,37,38,39,11,45
3969,03/08/2019,3,5,28,32,38,44,25,27
3967,27/07/2019,11,13,23,27,35,38,5,8
3965,20/07/2019,2,8,12,18,30,42,14,39
3963,13/07/2019,5,16,18,22,36,41,1,7
3961,06/07/2019,15,18,23,30,41,44,1,5
3959,29/06/2019,5,14,21,33,35,42,7,40
3957,22/06/2019,5,10,11,12,29,41,13,21
3955,15/06/2019,8,18,24,39,41,42,5,16
3953,08/06/2019,1,22,24,36,39,42,12,41
3951,01/06/2019,6,9,20,25,27,31,2,36
3949,25/05/2019,1,11,18,29,35,44,28,38
3947,18/05/2019,2,6,8,36,39,45,5,13
3945,11/05/2019,17,27,28,32,34,44,8,22
3943,04/05/2019,7,8,23,24,27,33,15,41
3941,27/04/2019,1,16,21,26,39,41,2,6
3939,20/04/2019,9,14,16,18,20,36,7,19
3937,13/04/2019,16,18,19,21,22,25,4,41
3935,06/04/2019,4,8,10,12,38,39,6,13
3933,30/03/2019,5,8,26,27,31,33,11,22
3931,23/03/2019,9,29,32,33,37,39,11,27
3929,16/03/2019,1,8,12,15,31,42,32,36
3927,09/03/2019,16,17,21,27,29,43,37,40
3925,02/03/2019,5,10,38,39,40,43,4,24
3923,23/02/2019,13,19,20,21,25,37,27,33
3921,16/02/2019,18,19,26,27,38,43,15,22
3919,09/02/2019,9,11,13,16,17,21,33,38
3917,02/02/2019,1,5,12,21,24,45,2,15
3915,26/01/2019,8,18,19,36,38,42,4,39
3913,19/01/2019,8,10,11,15,26,45,28,37
3911,12/01/2019,5,11,15,23,35,45,17,43
3909,05/01/2019,3,18,20,24,26,34,32,42
3907,29/12/2018,2,9,17,30,33,39,22,41
3905,22/12/2018,5,9,14,29,41,43,15,37
3903,15/12/2018,23,28,32,33,35,39,5,42
3901,08/12/2018,2,6,23,25,26,43,7,9
3899,01/12/2018,5,24,25,27,31,38,18,20
3897,24/11/2018,7,10,20,24,29,37,32,42
3895,17/11/2018,6,18,19,26,30,31,16,25
3893,10/11/2018,1,21,22,23,38,44,17,20
3891,03/11/2018,3,5,12,14,35,36,15,42
3889,27/10/2018,9,13,16,17,32,37,6,14
3887,20/10/2018,5,14,15,38,42,45,8,22
3885,13/10/2018,3,6,10,34,37,40,15,18
3883,06/10/2018,1,2,7,22,34,40,15,26
3881,29/09/2018,2,9,10,13,16,25,17,19
3879,22/09/2018,9,21,26,29,32,44,2,28
3877,15/09/2018,1,3,7,15,44,45,26,34
3875,08/09/2018,19,22,24,25,42,43,4,14
3873,01/09/2018,5,10,14,16,36,43,18,19
3871,25/08/2018,5,15,18,29,31,35,9,36
3869,18/08/2018,6,17,19,26,37,38,2,10
3867,11/08/2018,1,8,15,20,23,44,11,18
3865,04/08/2018,12,14,24,25,35,38,36,39
3863,28/07/2018,21,27,29,31,37,40,6,11
3861,21/07/2018,2,4,14,15,16,24,18,33
3859,14/07/2018,6,11,12,32,40,45,10,20
3857,07/07/2018,1,6,18,23,29,43,3,35
3855,30/06/2018,1,14,20,25,26,40,3,24
3853,23/06/2018,9,10,18,31,35,41,16,26
3851,16/06/2018,2,8,12,22,26,45,1,38
3849,09/06/2018,7,10,22,25,26,36,30,43
3847,02/06/2018,7,14,17,19,24,37,2,23
3845,26/05/2018,10,21,25,29,38,40,7,22
3843,19/05/2018,6,9,21,33,39,42,19,40
3841,12/05/2018,6,12,14,17,31,38,32,34
