Draw,Date,Winning Number 1,2,3,4,5,6,7,Supplementary Number 1,2,3,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize
1601,2024-10-22,1,2,16,17,24,26,28,4,41,47,,4,3,2,5,2,2,3,0,0,1,8000000.00,5,35666.25,53,3976.50,418,387.85,2891,44.85,67733,23.70,154871,16.65
1600,2024-10-15,3,11,12,30,39,43,46,20,22,36,"30,46",3,4,4,3,1,2,1,1,2,0,0.00,1,138705.85,23,7127.20,266,474.05,1619,62.30,42031,29.70,111689,17.95
1599,2024-10-08,6,14,30,42,44,45,46,15,16,21,,2,5,1,6,1,1,1,0,4,1,8000000.00,1,278827.90,38,8671.65,388,653.35,2469,82.20,64276,39.10,165802,24.35
1598,2024-10-01,2,3,5,24,27,31,32,1,4,35,32,3,4,4,3,3,0,2,2,0,0,0.00,1,141965.00,32,5243.05,384,336.10,2003,51.55,51228,24.95,137195,14.95
1597,2024-09-24,4,13,15,30,32,33,35,20,27,45,"4,13,15,32",3,4,4,3,1,2,1,3,0,1,15000000.00,8,37419.85,84,4211.75,700,388.80,4296,50.70,104769,25.70,269627,16.05
1596,2024-09-17,3,4,13,15,24,26,32,28,31,36,4,4,3,3,4,2,2,2,1,0,0,0.00,3,64420.85,62,3683.90,466,377.00,2954,47.60,72227,24.10,181308,15.40
1595,2024-09-10,4,10,23,25,27,30,37,3,16,20,,3,4,4,3,2,0,4,1,0,0,0.00,6,24053.90,42,4061.05,457,287.10,2372,44.25,56682,22.90,147825,14.10
1594,2024-09-03,3,8,9,32,35,38,43,22,33,46,,3,4,4,3,3,0,0,3,1,2,15000000.00,10,45018.00,100,5320.30,938,436.30,6142,53.30,152005,26.65,384208,16.95
1593,2024-08-27,1,13,14,18,22,37,42,27,28,32,"18,37",5,2,3,4,1,3,1,1,1,0,0.00,8,44749.95,104,4068.20,823,395.45,4756,54.75,121854,26.45,325869,15.90
1592,2024-08-20,18,20,21,29,37,38,40,23,31,46,"21,40",3,4,3,4,0,2,2,3,0,0,0.00,4,58597.85,54,5129.80,505,421.95,3210,53.10,76024,27.75,187643,18.05
1591,2024-08-13,4,6,21,22,34,40,42,5,27,44,,4,3,1,6,2,0,2,2,1,0,0.00,2,91345.05,49,4406.25,379,438.20,2368,56.10,59817,27.50,160683,16.45
1590,2024-08-06,3,7,9,32,36,39,43,23,29,42,"9,43",3,4,5,2,3,0,0,3,1,0,0.00,2,69618.45,31,5308.15,322,393.10,1913,52.95,47215,26.55,126120,15.95
1589,2024-07-30,9,25,27,29,40,42,43,24,35,45,"29,42",1,6,5,2,1,0,3,1,2,1,8000000.00,4,67236.55,47,6762.70,530,461.35,2610,74.95,67755,35.75,177022,22.00
1588,2024-07-23,1,10,12,15,29,33,42,4,30,32,"1,10,15,33,42",4,3,4,3,2,2,1,1,1,0,0.00,0,0.00,44,7106.55,375,347.45,2379,43.80,53260,24.20,131726,15.75
1587,2024-07-16,1,10,15,18,33,36,42,9,12,27,18,4,3,3,4,2,2,0,2,1,1,40000000.00,9,57143.90,137,4436.50,1248,374.65,7060,53.00,172703,26.80,465320,16.00
1586,2024-07-09,12,18,21,26,37,39,44,2,17,33,,3,4,3,4,0,2,2,2,1,0,0.00,4,100956.55,98,4869.90,934,393.05,5454,53.85,137317,26.45,358350,16.30
1585,2024-07-02,14,29,30,31,36,38,46,23,34,41,"14,31,38",1,6,2,5,0,1,2,3,1,0,0.00,11,28123.00,65,5624.60,589,477.45,3474,64.75,91399,30.45,243594,18.35
1584,2024-06-25,2,9,12,14,31,38,40,4,8,15,9,4,3,2,5,2,2,0,3,0,0,0.00,6,43007.70,47,6488.60,560,418.90,3408,55.05,85435,27.20,235830,15.80
1583,2024-06-18,3,9,10,21,28,29,30,6,17,47,"3,30",4,3,4,3,3,0,4,0,0,0,0.00,5,36200.30,60,3565.20,614,268.00,3220,40.90,75526,21.55,181388,14.40
1582,2024-06-11,3,12,26,30,41,45,46,18,35,42,,2,5,3,4,1,1,2,0,3,0,0.00,1,134774.35,31,5138.05,255,480.50,1482,66.15,38596,31.45,104425,18.65
1581,2024-06-04,1,13,15,16,28,33,36,21,26,45,"13,15",4,3,4,3,1,3,1,2,0,1,3000000.00,2,72938.60,60,2873.35,323,410.55,2103,50.45,50592,25.95,133617,15.80
1580,2024-05-28,5,10,13,15,29,31,42,17,39,40,,4,3,5,2,2,2,1,1,1,3,13333333.34,13,41674.55,168,3811.15,1412,348.80,8038,49.00,196192,24.85,481885,16.25
1579,2024-05-21,3,7,8,25,26,30,47,4,15,16,"7,25,47",3,4,4,3,3,0,3,0,1,0,0.00,6,56203.55,99,4025.60,884,346.80,4582,53.55,118409,25.65,317050,15.35
1578,2024-05-14,7,11,13,16,25,28,47,8,18,34,47,4,3,5,2,1,3,2,0,1,0,0.00,3,93934.70,71,4690.70,724,353.85,4258,48.15,104825,24.20,266733,15.25
1577,2024-05-07,15,24,35,43,45,46,47,19,20,38,"15,24,47",1,6,5,2,0,1,1,1,4,0,0.00,1,236010.30,62,4498.75,413,519.50,2661,64.50,68622,30.95,174288,19.55
1576,2024-04-30,3,6,15,24,32,44,47,18,33,38,6,3,4,3,4,2,1,1,1,2,0,0.00,4,47395.15,30,7468.35,411,419.35,2193,62.85,56210,30.35,152681,17.95
1575,2024-04-23,6,9,14,19,21,30,45,5,16,33,21,5,2,4,3,2,2,2,0,1,0,0.00,9,15508.60,35,4713.00,414,306.50,2294,44.25,55476,22.65,142591,14.15
1574,2024-04-16,12,13,17,21,28,32,33,7,9,22,28,4,3,4,3,0,3,2,2,0,1,3000000.00,6,24032.60,26,6554.35,428,306.30,2210,47.45,55247,23.50,153998,13.55
1573,2024-04-09,1,2,4,18,28,37,47,11,24,27,"2,47",4,3,3,4,3,1,1,1,1,1,50000000.00,14,49961.40,155,5333.10,1632,389.65,9197,55.30,239509,26.30,631262,16.00
1572,2024-04-02,2,15,21,22,41,43,47,6,23,28,47,4,3,5,2,1,1,2,0,3,0,0.00,8,60942.00,126,4572.85,975,454.60,6001,59.10,152060,28.85,408401,17.25
1571,2024-03-26,6,8,9,23,25,33,47,3,32,37,"23,47",4,3,5,2,3,0,2,1,1,0,0.00,11,38934.30,94,5384.55,939,414.65,5562,56.00,146048,26.40,386591,16.00
1570,2024-03-19,1,13,18,23,28,31,47,14,36,44,"18,23",4,3,5,2,1,2,2,1,1,0,0.00,4,82218.45,92,4224.65,700,427.10,4228,56.55,110329,26.85,279137,17.05
1569,2024-03-12,2,18,19,23,33,36,38,13,35,40,,4,3,3,4,1,2,1,3,0,0,0.00,3,77978.10,47,5882.30,530,401.25,3166,53.75,81130,25.95,209811,16.10
1568,2024-03-05,6,16,24,25,29,37,47,13,17,28,,2,5,4,3,1,1,3,1,1,0,0.00,5,38107.70,46,4895.25,396,437.40,2171,63.85,57382,29.90,161796,17.00
1567,2024-02-27,1,4,8,10,18,38,39,5,11,21,39,5,2,2,5,4,1,0,2,0,0,0.00,2,72466.70,47,3644.35,349,377.55,2095,50.30,53290,24.50,147909,14.15
1566,2024-02-20,7,11,17,24,33,39,43,26,27,44,"7,17",3,4,6,1,1,2,1,2,1,2,15000000.00,10,49349.55,145,4022.20,1318,340.40,7416,48.40,178710,24.85,463514,15.40
1565,2024-02-13,6,7,8,16,17,21,32,12,14,25,,6,1,3,4,3,2,1,1,0,0,0.00,7,54751.75,113,4008.35,1086,320.85,5841,47.70,146964,23.45,378579,14.65
1564,2024-02-06,3,10,13,20,31,38,39,12,33,41,20,4,3,4,3,2,2,0,3,0,0,0.00,7,41014.90,73,4648.00,644,405.30,3867,54.00,98302,26.30,252049,16.45
1563,2024-01-30,4,20,25,27,28,29,34,12,26,38,"20,27",2,5,3,4,1,1,4,1,0,0,0.00,6,24844.75,38,4636.10,425,318.85,2142,50.60,55114,24.35,140291,15.35
1562,2024-01-23,2,15,18,20,26,27,44,1,10,42,,4,3,2,5,1,3,2,0,1,0,0.00,2,67749.45,37,4327.95,337,365.50,2028,48.60,49143,24.80,127813,15.30
